name,clo1,col2,clo3,code
Rompers ,100003109>,200215341,,100003109>200215341
Pants & Capris,100003109>,205927403,,100003109>205927403
Sleeveless Dress,100003109>,205871601>,205874301,100003109>205871601>205874301
Long-Sleeve Dress,100003109>,205871601>,205872201,100003109>205871601>205872201
Short-Sleeve Dress,100003109>,205871601>,205871402,100003109>205871601>205871402
Three Quarter Sleeve Dress,100003109>,205871601>,205871503,100003109>205871601>205871503
Half-Sleeve Dress,100003109>,205871601>,205873704,100003109>205871601>205873704
A-line skirt ,100003109>,205876401>,205871002,100003109>205876401>205871002
Pleated skirt,100003109>,205876401>,205876103,100003109>205876401>205876103
Straight Skirt,100003109>,205876401>,205875702,100003109>205876401>205875702
Pencil Skirt,100003109>,205876401>,205871902,100003109>205876401>205871902
Asymmetrical skirt,100003109>,205876401>,205873503,100003109>205876401>205873503
Ball Gown skirt,100003109>,205876401>,205877401,100003109>205876401>205877401
Trumpet Skirt,100003109>,205876401>,205874602,100003109>205876401>205874602
Bud skirt,100003109>,205876401>,205877202,100003109>205876401>205877202
Straight Jeans,100003109>,205874801>,205871603,100003109>205874801>205871603
Pencil Jeans,100003109>,205874801>,205874502,100003109>205874801>205874502
Wide Leg Jeans,100003109>,205874801>,205872303,100003109>205874801>205872303
Flare Jeans,100003109>,205874801>,205875701,100003109>205874801>205875701
Harem Jeans,100003109>,205874801>,205875301,100003109>205874801>205875301
Overall Jeans,100003109>,205874801>,205874901,100003109>205874801>205874901
T-shirt,100003109>,205900902>,205902002,100003109>205900902>205902002
Shirt,100003109>,205900902>,205898006,100003109>205900902>205898006
Blouse,100003109>,205900902>,205897704,100003109>205900902>205897704
Jumpsuits ,100003109>,200001092,,100003109>200001092
Pullovers ,100003109>,200000783>,200000879,100003109>200000783>200000879
Cardigans ,100003109>,200000783>,200000877,100003109>200000783>200000877
Hoodies & Sweatshirts,100003109>,100003141,,100003109>100003141
